Number,Place,AgeCategory,Gender,Province,Swim,T1,Cycle,T2,Run
1,11,16-19,M,Munster,518,64,2293,42,1446
2,129,20-29,M,Leinster,1102,124,2662,47,1723
3,35,20-29,M,Leinster,693,138,2472,42,1466
4,153,20-29,M,Munster,906,318,3002,62,1648
5,34,20-29,M,Connacht,566,131,2518,65,1522
6,131,20-29,M,Connacht,940,202,3083,63,1381
7,169,20-29,M,Leinster,1118,366,3114,127,1674
8,95,20-29,M,Leinster,1002,102,2449,59,1756
9,97,20-29,M,Ulster,735,213,2701,66,1655
10,150,20-29,M,Leinster,930,196,2976,66,1700
11,49,20-29,M,Leinster,827,222,2524,62,1369
12,44,20-29,M,Leinster,765,198,2428,96,1436
13,72,20-29,M,Leinster,729,175,2584,108,1570
14,39,20-29,M,Munster,731,140,2459,77,1457
15,103,20-29,M,Leinster,881,182,2756,91,1491
16,154,20-29,M,Leinster,897,348,2930,172,1599
17,145,20-29,M,Munster,760,484,2946,151,1485
18,91,20-29,M,Ulster,820,142,2643,45,1634
19,48,20-29,M,Ulster,787,156,2629,56,1375
20,180,20-29,M,Leinster,1368,,,,
21,174,20-29,M,Ulster,891,305,3380,117,1810
22,109,30-39,M,Ulster,924,217,2793,85,1431
23,156,30-39,M,Leinster,1076,221,2802,117,1787
24,100,30-39,M,Leinster,831,149,2786,56,1565
25,101,30-39,M,Munster,997,224,2523,61,1585
26,132,30-39,M,Munster,1012,210,2785,70,1603
27,,30-39,M,Leinster,1054,146,2545,84,
28,13,30-39,M,Munster,597,97,2451,69,1194
29,55,30-39,M,Leinster,773,187,2488,123,1470
30,21,30-39,M,Leinster,860,166,2286,77,1146
31,99,30-39,M,Leinster,832,236,2649,104,1563
32,157,30-39,M,Munster,985,314,2840,77,1788
33,90,30-39,M,Ulster,847,209,2514,112,1584
34,40,30-39,M,Ulster,846,146,2375,80,1418
35,32,30-39,M,Ulster,873,122,2279,55,1437
36,63,30-39,M,Leinster,806,184,2388,100,1637
37,121,30-39,M,Munster,867,167,2732,52,1719
38,123,30-39,M,Leinster,1068,178,2636,83,1588
39,56,30-39,M,Leinster,694,112,2542,88,1611
40,70,30-39,M,Munster,887,175,2499,79,1512
41,61,30-39,M,Leinster,1015,211,2477,44,1329
42,59,30-39,M,Leinster,922,172,2515,74,1391
43,37,30-39,M,Leinster,712,125,2473,74,1466
44,89,30-39,M,Munster,721,163,2784,56,1538
45,26,30-39,M,Leinster,792,134,2444,79,1213
46,28,30-39,M,Leinster,713,132,2449,80,1323
47,67,30-39,M,Munster,869,158,2564,71,1473
48,2,30-39,M,Munster,616,87,2016,58,1225
49,30,30-39,M,Ulster,789,123,2385,57,1381
50,23,30-39,M,Ulster,822,105,2365,81,1223
51,46,30-39,M,Munster,635,211,2538,81,1479
52,149,30-39,M,Connacht,1044,217,2890,191,1523
53,62,30-39,M,Leinster,774,168,2728,57,1367
54,3,30-39,M,Ulster,621,85,1982,53,1282
55,22,30-39,M,Leinster,826,119,2213,70,1363
56,165,20-29,F,Munster,853,194,3025,124,2046
57,52,30-39,M,Leinster,816,173,2456,52,1511
58,175,30-39,M,Munster,909,257,3103,80,2172
59,18,30-39,M,Ulster,663,99,2239,56,1430
60,138,30-39,M,Munster,926,234,2825,87,1687
61,73,30-39,M,Leinster,790,145,2331,106,1804
62,130,30-39,M,Leinster,973,211,2625,59,1799
63,6,30-39,M,Munster,688,107,2197,60,1224
64,135,30-39,M,Connacht,916,303,2747,87,1649
65,19,30-39,M,Leinster,725,98,2246,54,1404
66,80,30-39,M,Connacht,778,236,2598,114,1490
67,12,30-39,M,Leinster,658,104,2396,60,1152
68,17,30-39,M,Munster,840,99,2199,61,1285
69,41,20-29,F,Leinster,565,101,2779,66,1357
70,29,30-39,M,Connacht,769,121,2445,81,1315
71,133,30-39,M,Leinster,995,195,2556,95,1854
72,15,30-39,M,Leinster,688,90,2310,55,1299
73,66,30-39,M,Connacht,812,161,2632,103,1416
74,134,50+,F,Leinster,837,129,2887,83,1762
75,27,40-49,M,Connacht,784,108,2284,79,1433
76,171,40-49,M,Leinster,970,282,3019,119,2034
77,47,40-49,M,Munster,944,175,2497,72,1313
78,117,40-49,M,Ulster,846,162,2683,62,1752
79,172,40-49,M,Munster,1225,186,2900,92,2034
80,104,40-49,M,Connacht,834,152,2905,61,1454
81,92,40-49,M,Leinster,770,151,2624,91,1653
