date,open,high,low,close
04/01/2021,274.779999,275,265.200012,268.940002
05/01/2021,268.290009,272.399994,268.209991,270.970001
06/01/2021,262,267.75,260.01001,263.309998
07/01/2021,265.899994,271.609985,264.779999,268.73999
08/01/2021,268.309998,268.950012,263.179993,267.570007
11/01/2021,260.480011,263.470001,255.899994,256.839996
12/01/2021,256.630005,259.720001,250.300003,251.089996
13/01/2021,251.550003,253.949997,249.199997,251.639999
14/01/2021,253.399994,255.029999,244.610001,245.639999
15/01/2021,247.899994,253.860001,247.160004,251.360001
19/01/2021,256.899994,262.200012,252.720001,261.100006
20/01/2021,268.929993,270.320007,263.600006,267.480011
21/01/2021,269.26001,273.600006,267.48999,272.869995
22/01/2021,272.01001,278.470001,272,274.5
25/01/2021,278.140015,280.100006,271.51001,278.01001
26/01/2021,278.140015,285.390015,277.809998,282.049988
27/01/2021,282.529999,283.450012,268.119995,272.140015
28/01/2021,277.179993,286.790009,264.700012,265
29/01/2021,265.299988,266.559998,254.850006,258.329987
01/02/2021,259.519989,264.170013,254.910004,262.01001
02/02/2021,264,268.850006,263.269989,267.079987
03/02/2021,265.619995,269.200012,263.839996,266.649994
04/02/2021,267.01001,268.160004,264,266.48999
05/02/2021,266.799988,269.170013,265.670013,268.100006
08/02/2021,268.75,269.859985,265,266.579987
09/02/2021,266.440002,273.390015,265.75,269.450012
10/02/2021,272.450012,273.799988,267.720001,271.869995
11/02/2021,271.890015,273.579987,268.48999,270.390015
12/02/2021,270.519989,271.179993,268.339996,270.5
16/02/2021,270.799988,276.600006,270.049988,273.970001
17/02/2021,271.23999,273.970001,269.579987,273.570007
18/02/2021,269.570007,271.950012,266.029999,269.390015
19/02/2021,269.859985,270.269989,260.149994,261.559998
22/02/2021,257.950012,263.070007,257.529999,260.329987
23/02/2021,259.5,267.459991,254.960007,265.859985
24/02/2021,262.329987,266.380005,258.390015,264.309998
25/02/2021,262.299988,266.940002,254.039993,254.690002
26/02/2021,256.470001,265.549988,256.470001,257.619995
01/03/2021,260.820007,266.649994,257.899994,264.910004
02/03/2021,265.779999,266.709991,258.649994,259
03/03/2021,260.290009,260.98999,255.100006,255.410004
04/03/2021,256.470001,266.48999,253.5,257.640015
05/03/2021,260.670013,265.450012,255.610001,264.279999
08/03/2021,265.549988,265.579987,255.050003,255.309998
09/03/2021,261.179993,268.529999,259.809998,265.73999
10/03/2021,268.640015,268.970001,262.869995,264.899994
11/03/2021,268.109985,277.899994,267.820007,273.880005
12/03/2021,269.140015,269.73999,264.019989,268.399994
15/03/2021,269.079987,275.959991,268.5,273.75
16/03/2021,276.079987,282.140015,274.799988,279.279999
17/03/2021,275.709991,286.230011,275.410004,284.01001
18/03/2021,279.869995,285.190002,278.279999,278.619995
19/03/2021,281.220001,292.799988,281.200012,290.109985
22/03/2021,290.450012,299.709991,286.75,293.540009
23/03/2021,293.149994,298,289.809998,290.630005
24/03/2021,291,291.720001,281.160004,282.140015
25/03/2021,280.980011,288.059998,277.75,278.73999
26/03/2021,278.299988,284.5,277.769989,283.019989
29/03/2021,285.769989,293.179993,284.700012,290.820007
30/03/2021,289.829987,292.470001,286.700012,288
31/03/2021,289.98999,296.5,288.609985,294.529999
01/04/2021,298.399994,302.399994,296.600006,298.660004
05/04/2021,300.890015,310.769989,300.679993,308.910004
06/04/2021,308.839996,311.350006,305.25,306.26001
07/04/2021,306.339996,314.25,305.5,313.089996
08/04/2021,314.850006,315.880005,310.049988,313.019989
09/04/2021,311.399994,314.73999,310.329987,312.459991
12/04/2021,311.049988,312.149994,307.929993,311.540009
13/04/2021,312.209991,314.429993,309.320007,309.76001
14/04/2021,307.299988,308.029999,301.950012,302.820007
15/04/2021,306.339996,310.140015,304.100006,307.820007
16/04/2021,308.170013,308.950012,304.609985,306.179993
19/04/2021,305.01001,307.700012,300.559998,302.23999
20/04/2021,301.98999,305.100006,297.209991,302.649994
21/04/2021,301.950012,301.980011,297.390015,301.470001
22/04/2021,301.329987,302.920013,296.040009,296.519989
23/04/2021,298.76001,302.589996,297.149994,301.130005
26/04/2021,303.339996,305.799988,301.559998,303.040009
27/04/2021,304.279999,305.339996,301.109985,303.570007
28/04/2021,307.359985,310.920013,305.369995,307.100006
29/04/2021,330.119995,331.809998,321.609985,329.51001
30/04/2021,326.140015,329.820007,324.5,325.079987
03/05/2021,326.170013,328.549988,321.839996,322.579987
04/05/2021,320.019989,322.190002,313.119995,318.359985
05/05/2021,318.190002,321.059998,314.48999,315.019989
06/05/2021,314.519989,320.23999,313.269989,320.019989
07/05/2021,322.380005,322.940002,318.75,319.079987
10/05/2021,314.350006,314.579987,304.829987,305.970001
11/05/2021,300.75,306.839996,299.690002,306.529999
12/05/2021,301.130005,304.959991,298.190002,302.549988
13/05/2021,306.079987,308.859985,302.769989,305.26001
14/05/2021,309.540009,316.850006,309.079987,315.940002
17/05/2021,313.549988,315.679993,311.579987,315.459991
18/05/2021,315.589996,316.5,309.809998,309.959991
19/05/2021,304.190002,314.660004,303.570007,313.589996
20/05/2021,313.579987,319.25,313.160004,318.609985
21/05/2021,319.290009,319.929993,315.809998,316.230011
24/05/2021,318.209991,325.950012,318.029999,324.630005
25/05/2021,327.079987,329.179993,324.799988,327.790009
26/05/2021,328.350006,329.829987,325.820007,327.660004
27/05/2021,328,333.779999,326.76001,332.75
28/05/2021,331,332.869995,328.329987,328.730011
01/06/2021,330.149994,331.420013,326.640015,329.130005
02/06/2021,330.380005,331.869995,327.119995,329.149994
03/06/2021,325.779999,327.380005,323.480011,326.040009
04/06/2021,325.899994,332.459991,325.179993,330.350006
07/06/2021,329.480011,337.690002,328.929993,336.579987
08/06/2021,336.700012,338.299988,332.23999,333.679993
09/06/2021,335.73999,336.799988,330,330.25
